N°;Fecha Hora Inicio;Fecha Hora Termino;tfs;Modos de falla;Modos de falla;;;
1;04-07-2023 14:45;04-07-2023 15:20;0:35;    Electrocontrol;    Electrocontrol;;Días;185
2;04-07-2023 13:45;04-07-2023 14:45;1:00;  Operaciones;  Operaciones;;Horas totales;4.431
3;04-07-2023 11:50;04-07-2023 12:10;0:20;  Operaciones;    Mecánica;;horas totales de detención;1.526
4;04-07-2023 11:20;04-07-2023 11:40;0:20;    Mecánica;  Externa;;;
5;04-07-2023 5:40;04-07-2023 6:40;1:00;  Operaciones;;;;
6;04-07-2023 2:40;04-07-2023 3:00;0:20;  Operaciones;;;TMEF;2,1
7;04-07-2023 2:00;04-07-2023 2:20;0:20;  Operaciones;;;TMPR;0,7
8;04-07-2023 1:00;04-07-2023 1:20;0:20;  Operaciones;;;Disponibilidad;74,5%
9;03-07-2023 22:00;03-07-2023 23:00;1:00;  Operaciones;;;Indisponibilidad;25,5%
10;03-07-2023 20:30;03-07-2023 21:00;0:30;  Operaciones;;;;
11;03-07-2023 17:20;03-07-2023 17:50;0:30;    Electrocontrol;;;;
12;03-07-2023 14:50;03-07-2023 15:10;0:20;  Operaciones;;;;
13;03-07-2023 12:15;03-07-2023 12:45;0:30;    Electrocontrol;;;;
14;03-07-2023 9:50;03-07-2023 12:15;2:25;    Mecánica;;;;
15;03-07-2023 8:50;03-07-2023 9:50;1:00;  Operaciones;;;;
16;03-07-2023 6:05;03-07-2023 6:15;0:10;  Operaciones;;;;
17;03-07-2023 4:30;03-07-2023 4:50;0:20;  Operaciones;;;;
18;03-07-2023 2:10;03-07-2023 2:20;0:10;  Operaciones;;;;
19;03-07-2023 1:50;03-07-2023 2:20;0:30;  Operaciones;;;;
20;03-07-2023 0:20;03-07-2023 0:35;0:15;  Operaciones;;;;
21;02-07-2023 22:15;02-07-2023 23:15;1:00;  Operaciones;;;;
22;02-07-2023 21:45;02-07-2023 22:00;0:15;  Operaciones;;;;
23;02-07-2023 21:20;02-07-2023 21:35;0:15;  Operaciones;;;;
24;02-07-2023 19:45;02-07-2023 20:05;0:20;  Operaciones;;;;
25;02-07-2023 18:30;02-07-2023 18:40;0:10;    Mecánica;;;;
26;02-07-2023 14:50;02-07-2023 15:30;0:40;  Operaciones;;;;
27;02-07-2023 13:40;02-07-2023 14:00;0:20;  Operaciones;;;;
28;02-07-2023 12:30;02-07-2023 13:30;1:00;  Operaciones;;;;
29;02-07-2023 11:40;02-07-2023 12:10;0:30;  Operaciones;;;;
30;02-07-2023 10:00;02-07-2023 10:20;0:20;  Operaciones;;;;
31;02-07-2023 8:00;02-07-2023 8:20;0:20;  Operaciones;;;;
32;02-07-2023 6:00;02-07-2023 7:00;1:00;  Operaciones;;;;
33;02-07-2023 3:15;02-07-2023 4:15;1:00;  Operaciones;;;;
34;02-07-2023 2:00;02-07-2023 2:20;0:20;  Operaciones;;;;
35;01-07-2023 21:45;01-07-2023 22:15;0:30;  Operaciones;;;;
36;01-07-2023 20:50;01-07-2023 21:15;0:25;  Operaciones;;;;
37;01-07-2023 17:00;01-07-2023 18:00;1:00;  Operaciones;;;;
38;01-07-2023 14:00;01-07-2023 14:20;0:20;  Operaciones;;;;
39;01-07-2023 11:00;01-07-2023 11:30;0:30;  Operaciones;;;;
40;01-07-2023 9:00;01-07-2023 10:00;1:00;  Operaciones;;;;
